barcode,id_sku,product_name,price_default,price_card,price_discount,price2_qr,source_count,source_files
3077052101020,,Вино CHATEAU DE LA THEBAUDIERE Долина Луары Мюскаде Севр э Мэн сор Ли АОП сорт. бел. сух. (Франция) 0. 75L,"3157,89","2299,99",,2999.99,1,25_2-10.csv
3149070037381,,Вино LES NUAGES Совиньон Блан Турэн сорт. бел. сух. (Франция) 0. 75L,"2315,79","1529,99",,2199.99,1,25_2-10.csv
3179077542571,270123558781,Вино CELLIER DES DAUPHINS Селье де Дофен Медитерране Престиж роз. сух. (Франция) 0. 25L,"599,99","419,99",,569.99,1,25_12-20.csv
3221580008317,270108704080,Вино REMY PANNIER Sauvignon Валь де Луаре сортовое ордин. бел. сух (Франция) 0. 75L,"1578,99","1374,99",,1499.99,1,25_2-10.csv
3256030010244,270101364411,Вино ROBERT CHARTON Бордо AOP кр. сух. (Франция) 0. 75L,"1368,42","799,99",,1299.99,1,26_12-20.csv
3259354509500,270101443432,Вино PIERRE PLANTEE ординарное кр. сух. (Франция) 0. 75L,"2105,29","1199,99",,1999.99,1,26_12-20.csv
3263280105262,270123568019,Вино JP. CHENET Ориджинал Гренаш Сенсо ордин. роз. п/ сух. (Франция) 0. 187L,"568,42","399,99",,539.99,1,25_12-20.csv
3263280122351,270101738426,Вино LE CURIEUX SOMMELIER Мерло сорт. выдерж. кр. сух. (Франция) 0. 75L,"1684,29","1325,99",,1599.99,1,26_12-20.csv
3263286350598,270123568418,Вино JP. CHENET Ориджинал Коломбар Шардоне бел. п/сух. Франция 0.187L,"568,42","399,99",,539.99,1,25_12-20.csv
3263286350611,270123560101,Вино JP. CHENET Ориджинал Каберне Сира кр. п/ сух. (Франция) 0. 187L,"586,42","399,99",,539.99,1,25_12-20.csv
3296311111000,270101529789,Вино ALBERT BICHOT Chateau De Dracy Пино Нуар Бургонь выдерж. кр. сух. (Франция) 0. 75L,"5578,99","2999,99",,5299.99,1,26_12-20.csv
3298660031398,270101701901,Вино BOUNGOGNE PINOT NOIR PIERRE NEROL выдерж. сорт. AOP кр. сух. (Франция) 0. 75L,"3157,89","2299,99",,2999.99,1,26_12-20.csv
3363040800137,270101680679,Вино LAURENT CHARDIGNY PINOT NOIR AOP Bourgogne сорт. орд. кр. сух. (Франция) 0. 75L,"2421,05","1699,99",,2299.99,1,26_12-20.csv
3363040800885,270101580637,Вино MICKAEL MARILLIER BEAUJOLAIS AOP ординарное сортовое кр. сух. (Франция) 0. 75L,"1999,99","1399,99",,1899.99,1,26_12-20.csv
3437540053123,270101778029,Вино CLOCE DU CHARME Каберне Совиньон кр. сух. (Франция) 0. 75L,"1334,99","1199,99",,1268.29,1,26_12-20.csv
3437540053130,270101770030,Вино CLOCE DU CHARME Каберне Мерло кр. сух. (Франция) 0. 75L,"1334,99","1199,99",,1268.29,1,26_12-20.csv
